id,speaker,start_time,end_time,text,emotion
Ses01F_impro01_F000,F,6.2901,8.2357,Excuse me.,neu
Ses01F_impro01_M000,M,7.5712,10.475,Do you have your forms?,fru
Ses01F_impro01_F001,F,10.01,11.3925,Yeah.,neu
Ses01F_impro01_M001,M,10.9266,14.6649,Let me see them.,fru
Ses01F_impro01_F002,F,14.8872,18.0175,Is there a problem?,neu
Ses01F_impro01_M002,M,16.8352,19.7175,Who told you to get in this line?,fru
Ses01F_impro01_F003,F,19.29,20.7875,You did.,xxx
Ses01F_impro01_F004,F,21.3257,24.74,You were standing at the beginning and you directed me.,xxx
Ses01F_impro01_M003,M,23.47,28.03,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
Ses01F_impro01_F005,F,27.46,31.49,Well what's the problem?  Let me change it.,neu
Ses01F_impro01_M004,M,28.395,31.2117,This form is a Z.X.four.,fru
Ses01F_impro01_M005,M,31.266,39.3875,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru
Ses01F_impro01_F006,F,38.965,43.59,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru
Ses01F_impro01_M006,M,41.23,46.98,No. I need another set of ID to prove this is actually you.,fru
Ses01F_impro01_F007,F,46.58,52.19,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru
Ses01F_impro01_M007,M,51.4,57.64,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru
Ses01F_impro01_F008,F,56.16,58.8225,I'm here to get an ID.,fru
Ses01F_impro01_M008,M,58.18,62.59,"No.  I need another ID, a separate one.",fru
Ses01F_impro01_F009,F,61.87,65.97,Like what?  Like a birth certificate?,fru
Ses01F_impro01_M009,M,65.51,73.0,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru
Ses01F_impro01_F010,F,66.42,69.34,Who the hell has a birth certificate?,xxx
Ses01F_impro01_F011,F,72.45,82.26,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru
Ses01F_impro01_M010,M,81.59,86.03,"Yeah.  We keep it on file, but we need an ID to access that file.",fru
Ses01F_impro01_F012,F,85.27,88.02,That's out of control.,ang
Ses01F_impro01_M011,M,87.15,94.39,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang
Ses01F_impro01_F013,F,93.67,97.0218,How long have you been working here?,fru
Ses01F_impro01_M012,M,95.86,98.68,Actually too long.,xxx
