id,speaker,start_time,end_time,text,emotion
Ses05F_impro01_F000,F,3.6132,6.17,"Hi, I need an ID.",neu
Ses05F_impro01_M000,M,5.78,14.78,"ahh Yeah, this is the wrong line.  I'm sorry.  You need to go back over to line two B.  That's where you should have started from.",neu
Ses05F_impro01_F001,F,14.15,19.49,"Okay, I'm sorry, but I just stood in this line for an hour.  can I Is there any way I can-",fru
Ses05F_impro01_M001,M,17.64,24.16,"I mean, there's really nothing I can do for you in this line.  This is not the line for new I.D.  This is the line for registration.",xxx
Ses05F_impro01_F002,F,22.85,26.9,"No, they told me-I'm sorry, but they told me to be in this line.",fru
Ses05F_impro01_M002,M,26.65,31.48,"Yeah, I understand that ma'am.  I don't know what they said to you, but you need to be in a different line.",xxx
Ses05F_impro01_F003,F,29.98,34.46,"What, I mean what... what's the difference?  What do I need to do there that I can't do here?",fru
Ses05F_impro01_M003,M,34.11,40.88,"Well, I have no camera here.  I can't help you at all here, ma'am.  I have forms for something completely different.  You need to go to a different place.",neu
Ses05F_impro01_F004,F,39.48,42.18,Can you just-can I just get the right-,fru
Ses05F_impro01_M004,M,41.11,44.39,"Simply step to line two A, ma'am, I'm sorry.",fru
Ses05F_impro01_F005,F,42.84,45.78,Would you be able to put me at the front of that line?,fru
Ses05F_impro01_M005,M,44.42,48.16,There is a large line of people behind you waiting to be--,fru
Ses05F_impro01_F006,F,46.82,53.74,I know.  I've been in line with these people.  I understand.  I understand what it's like.  Could you please like call over and-,fru
Ses05F_impro01_M006,M,52.11,59.09,"I don't want to be rude here, ma'am, but line two B is where you need to be.  This is the line for registration.",fru
Ses05F_impro01_F007,F,58.28,65.33,"I hear that.  I hear that.  Thank you, but I've waited in line for so long, and I don't want to have to be here all day.",fru
Ses05F_impro01_M007,M,67.69,69.34,I don't have those-,fru
Ses05F_impro01_F008,F,65.34,69.58,"So could I maybe get the form from you, fill it out here- and maybe you could-",neu
Ses05F_impro01_M008,M,69.37,74.36,"I don't have those forms, ma'am.  I can't help you.  That's why you need to go to line two A.",fru
Ses05F_impro01_F009,F,74.06,76.68,And how long is that going to take?,fru
Ses05F_impro01_M009,M,76.16,87.3,"Ma'am, obviously I have no idea how long it's taking.  There seems to be a bit of a line there.  It looks like thirty forty people.  It could take four to five hours.  I'm sorry.",fru
Ses05F_impro01_F010,F,86.89,88.5,I don't-,fru
Ses05F_impro01_M010,M,87.6,89.6,"There's nothing I can do for you, ma'am.",fru
Ses05F_impro01_F011,F,88.52,91.5428,"I don't have time for this today, and-",fru
Ses05F_impro01_M011,M,91.31,99.88,"But, obviously I don't have time for you to stand here and waste my time in this line.  There are other people who need service behind you who are waiting for the right things.",fru
Ses05F_impro01_F012,F,96.25,101.6,"Is there anything you can do?  Please, have some compassion.  Is there something you can do?",fru
Ses05F_impro01_M012,M,100.52,110.6,"I am a very compassionate person, and I'm offended that you imply that I'm not.  Of course, I'm compassionate.  Look, I work in the D.M.V..  What do you think I am?  Go wait in line two A.",fru
Ses05F_impro01_M013,M,111.08,118.47,Don't ask me to have somebody else come over here and move you myself.  I can't come back over there.  I'll get security if you need me to.,fru
Ses05F_impro01_F013,F,117.86,128.73,"Please, I don't think that's necessary.  I'm just asking, maybe you could call over and say that somebody miss informed her because I didn't pick to stand in this line.  I asked them where to stand, and they told me here.",fru
Ses05F_impro01_M014,M,127.97,131.11,"what, no, I'm sure they did not tell you here.",fru
