id,speaker,start_time,end_time,text,emotion
Ses04F_impro01_F000,F,4.27,16.15,"Hi.  Um, excuse me I've been to, like, five of the desks here and nobody seems to be able to tell me what it is I need to do.  I've been here for over an hour.  Can you possibly help me?",xxx
Ses04F_impro01_M000,M,15.66,20.55,"Uh, lets- What do you need exactly?",fru
Ses04F_impro01_F001,F,19.78,25.7,Well I filled out all the forms and I've given them to everyone and they keep sending me to someone else.,fru
Ses04F_impro01_M001,M,25.28,27.66,"You need a new license, is that what you're telling me?",fru
Ses04F_impro01_F002,F,26.89,29.82,Yes.  I'm just trying to get a new license.,fru
Ses04F_impro01_M002,M,28.13,35.84,Let me see the form. Just let me see the form. Yeah.  You filled this out wrong.  I can't - I can't - I can't do anything with this.,fru
Ses04F_impro01_F003,F,35.98,39.35,Okay.  I did-,fru
Ses04F_impro01_M003,M,37.9,42.94,Ma'am I cannot help you.  You need to fill out a new form and you need to get in the back of the line.,fru
Ses04F_impro01_F004,F,40.27,43.28,I did exactly what they told me to do.,ang
Ses04F_impro01_F005,F,43.28,50.7,I have done everything everyone in this entire place has told me to do.  I've been here for over an hour.  They make me wait in line.  Every single time I start over again.,fru
Ses04F_impro01_M004,M,50.33,52.96,Ma'am I can't help you.  Do you understand?,fru
Ses04F_impro01_F006,F,51.1,56.83,I have a life.  I have things to do.  I have places to go.  Can you not just put this through please?,fru
Ses04F_impro01_M005,M,54.46,56.17,I've got a life too ma'am,ang
Ses04F_impro01_M006,M,56.1881,60.02,and I got to - i got to work here all day long.  Okay.  I've got to deal with you people all day.,fru
Ses04F_impro01_M007,M,60.04,65.64,So what I need you to do is I need you to fill out this form correctly and go to the back of the line.,fru
Ses04F_impro01_F007,F,59.75,70.76,"Okay, that's nice. That's nice but I have done everything you people have told me to do. I don't understand why you can't just help me get this done.  It's simple, right?  License.  I need it. Can we just do this please?",fru
Ses04F_impro01_M008,M,68.03,71.43,There's nothing I can do for you.  Do you understand that?  Nothing.,ang
Ses04F_impro01_M009,M,71.45,74.7,"What I need you to do is go to the back of the line,",fru
Ses04F_impro01_F008,F,74.62,78.72,I've been to the back of the line five times.,ang
Ses04F_impro01_M010,M,74.7,76.49,fill out this form and wait,fru
Ses04F_impro01_M011,M,76.52,79.08,You're going to have to go back again.,ang
Ses04F_impro01_F009,F,80.0666,87.08,Okay.  What is it that I did wrong on the form that I have to start all over again?,ang
Ses04F_impro01_M012,M,87.03,89.89,This whole area here you didn't initial,xxx
Ses04F_impro01_M013,M,89.89,91.28,and you filled out-,fru
Ses04F_impro01_F010,F,89.87,96.65,"Okay.  Well, I can do that right here right now without going to the back of the line again.  See look initialed.  All done. Ready to go.",ang
Ses04F_impro01_M014,M,93.32,98.3,Ma'am I have other people waiting in line right now.  I have other people waiting in line right now.,ang
Ses04F_impro01_F011,F,97.97,100.35,I have been waiting for over an hour.,fru
Ses04F_impro01_M015,M,100.06,106.53,This whole area of the form was not supposed to be filled out and you put the address in the wrong place,fru
Ses04F_impro01_M016,M,106.55,111.48,"Uhh, and you spelled your own name wrong.  So I need you to take that",fru
Ses04F_impro01_F012,F,112.91,118.69,I'm not starting over again.  No I have done this five times.  I am not starting over again.,ang
Ses04F_impro01_M017,M,111.5,115.62,"and, uh, throw it away. I need you to fill out a new form.",fru
Ses04F_impro01_M018,M,118.31,121.89,Ma'am you're going to have- you- look. You really- you really,fru
Ses04F_impro01_F013,F,119.95,122.02,Look can you not just help me?,fru
Ses04F_impro01_M019,M,123.83,126.4,I can't help you right now.  Do you understand that?,xxx
Ses04F_impro01_F014,F,122.04,132.07,I mean look she's -she's perfectly nice.  She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to.  I have kids to pick up from school.  I can't just stay here.,ang
Ses04F_impro01_M020,M,131.28,139.0593,Look I'm going on my lunch break right now.  So you're just going to have to take this form and go to the back of the line.,xxx
Ses04F_impro01_F015,F,134.76,139.01,No.  No.  No. No. You have to help me.,xxx
Ses04F_impro01_M021,M,139.08,141.8,like I said before right now.,ang
Ses04F_impro01_F016,F,139.03,143.48,This is your job is to help people like me who need to get a new license.,ang
Ses04F_impro01_F017,F,143.48,146.09,That's like the whole purpose of you being here.,xxx
Ses04F_impro01_M022,M,145.26,148.57,Ma'am you are testing my patience.  Do you understand me?,fru
Ses04F_impro01_F018,F,147.7,150.48,I- I- I'm testing your patience?,xxx
Ses04F_impro01_M023,M,148.69,151.21,You're testing my goddamn patience.,ang
Ses04F_impro01_F019,F,150.5,152.54,I'm testing your patience?,ang
Ses04F_impro01_M024,M,151.22,155.47,"I work in this fucking building all day. And I'm sick of it, okay?",ang
Ses04F_impro01_F020,F,152.56,154.54,Yeah.  You have to be here all day.,xxx
