id,speaker,start_time,end_time,text,emotion
Ses03F_impro01_F000,F,4.1,10.68,"God, finally I got to the line, the front of the line. I've been waiting there for like half an hour.",xxx
Ses03F_impro01_F001,F,10.73,13.92,[BREATHING] It's so hot in here. Hoo.,xxx
Ses03F_impro01_M000,M,13.17,14.4141,Yeah.,xxx
Ses03F_impro01_M001,M,14.52,18.7025,"Oh, um-",neu
Ses03F_impro01_F002,F,18.22,20.075,What's wrong?,neu
Ses03F_impro01_M002,M,20.28,27.9575,"You didn't fill this out right. All right. It says that you have to fill out the back sheet of this, but you filled out the yellow sheet of it.",neu
Ses03F_impro01_F003,F,27.205,32.43,"No, no, no, no, no, no. The lady over there, she told me to fill out the front and she said to wait in this line.",fru
Ses03F_impro01_M003,M,31.3775,32.68,Who?,neu
Ses03F_impro01_F004,F,32.47,36.102,I don't know. Some lady. Sonya or something.,fru
Ses03F_impro01_M004,M,36.7475,39.12,She- she probably doesn't even work here.,neu
Ses03F_impro01_F005,F,40.1,43.22,"Excuse me? No, no. I waited in the line over there..",fru
Ses03F_impro01_M005,M,39.21,40.8066,All right  Uh-,neu
Ses03F_impro01_F006,F,43.24,48.4375,and she told me to come over here and she said to fill out everything on the application and I did that.,fru
Ses03F_impro01_M006,M,49.935,51.5625,It's not right.,fru
Ses03F_impro01_F007,F,50.275,55.09,"Look, I-- No, no, no, I--you don't understand. I have to go back to work.",fru
Ses03F_impro01_M007,M,52.6325,54.3375,You just take--all right.,fru
Ses03F_impro01_M008,M,54.9204,60.97,"Well, you didn't fill this paper at work out right and it's going to take another fifteen minutes to do it and look at how long the line we got here so just-",fru
Ses03F_impro01_F008,F,55.2125,56.3125,I am not-,fru
Ses03F_impro01_M009,M,61.02,67.67,"okay, just go back and fill it out real quick and I'm sorry, you have to get back in line and wait. I can't let you cut.",fru
Ses03F_impro01_F009,F,66.26,72.37,But you don't understand. I cannot get back in line because I have to go back to work. I will get fired if I don't leave here.,fru
Ses03F_impro01_M010,M,71.91,75.3975,"Well, maybe you should have got here earlier than so you had a lot of time to do this.",xxx
Ses03F_impro01_F010,F,74.345,78.9025,But I was at work and the lady told me to come and work it and to stand in the line.,xxx
Ses03F_impro01_M011,M,78.2775,81.2325,I don't know who this lady is.,xxx
Ses03F_impro01_F011,F,80.19,82.3875,[LAUGHTER],fru
Ses03F_impro02_F000,F,7.63,9.54,"How's it going, babe?",neu
Ses03F_impro02_F001,F,12.19,13.21,Yeah?,neu
Ses03F_impro02_M000,M,10.0719,11.88,All right.,neu
Ses03F_impro02_F002,F,13.86,15.4425,Good.,xxx
Ses03F_impro02_F003,F,16.235,25.71,"Hey listen,eh- I've been wanting to talk to you. I have something to tell you. How's Amy doing?",xxx
Ses03F_impro02_M001,M,25.8175,33.2575,She's doing fine. She just took her first steps today actually. I videotaped it for you so you can watch it.,hap
Ses03F_impro02_F004,F,28.8225,30.34,yeah.,xxx
Ses03F_impro02_F005,F,31.46,32.595,oh.,exc
Ses03F_impro02_F006,F,32.7525,44.415,"I really want to say that. Well I, so, you know, at the center department they called me in and I talked to-",xxx
Ses03F_impro02_M002,M,43.94,45.94,"Oh, yeah? What did they say?",xxx
Ses03F_impro02_F007,F,45.3025,50.76,Well umm- actually they--I was promoted.,exc
Ses03F_impro02_M003,M,50.31,53.0775,"Oh, wow. That's great.",xxx
Ses03F_impro02_F008,F,51.31,64.64,And Uh- Yeah. Uh- They're going to need um- more nurses on call for uh- to go overseas to help out with the war.,sad
Ses03F_impro02_F009,F,64.76,74.8875,"And uh - seeing as I was uh- promoted and head of the department now, and so- well, they asked me to go.",xxx
Ses03F_impro02_F010,F,75.09,76.91,yeah.,sad
Ses03F_impro02_M004,M,76.0425,77.41,when?,sur
Ses03F_impro02_F011,F,77.0475,81.45,It's going- It's going to be probably in about three weeks.,sad
Ses03F_impro02_M005,M,81.9,86.2325,What? You can't do that. Three weeks?,sur
Ses03F_impro02_F012,F,82.89,83.89,yeah,sad
Ses03F_impro02_F013,F,86.3275,91.14,"Well, I'm leaving in three weeks, but-- Yeah.",xxx
Ses03F_impro02_M006,M,89.93,93.4225,"God, we're supposed to take a look at a house next week.",fru
Ses03F_impro02_F014,F,93.28,95.975,Maybe we can still do that,fru
Ses03F_impro02_M007,M,94.98,98.1925,"I can't- No, I can't do this alone.",ang
Ses03F_impro02_F015,F,99.015,100.88,"Yeah, and uh--",sad
Ses03F_impro02_M008,M,99.5,102.77,Amy's starting school in a month.,xxx
Ses03F_impro02_F016,F,102.3075,109.18,"I know, but look, I have to take this. I mean, if I don't, I mean, I could get fired.",fru
Ses03F_impro02_F017,F,109.23,113.5,And we know you need-we need the money. We couldn't even- purchase a house if I didn't take this.,fru
Ses03F_impro02_M009,M,111.5275,112.81,God.,fru
Ses03F_impro02_M010,M,114.46,119.0325,You know what happened to my cousin. She went and she never came back.,fru
Ses03F_impro02_F018,F,118.4,122.1275,"Honey, I'm going to come back. It's not like that.",sad
Ses03F_impro02_F019,F,124.1475,128.2825,But it- it is for a year.,sad
Ses03F_impro02_M011,M,127.8,129.2625,Oh,fru
Ses03F_impro02_F020,F,131.16,134.95,"Babe, I'm sorry. But I don't want to do.",sad
Ses03F_impro02_M012,M,135.095,136.49,I can't-,fru
Ses03F_impro02_F021,F,134.99,141.61,"You know as much as -as much as me that I-I want to stay here with you and Amy so bad, but I can't.",sad
Ses03F_impro02_M013,M,141.8225,147.9025,You remember the last time you went? You know how hard it was for me? Now we have a kid.,xxx
Ses03F_impro02_F022,F,147.82,154.1975,"But you're so good with her. You know, she knows you better than she knows me 'cause I'm at work every day.",fru
Ses03F_impro02_M014,M,150.755,152.9,I have to work.,sad
Ses03F_impro02_M015,M,153.75,155.835,[BREATHING],fru
Ses03F_impro02_F023,F,156.325,158.6525,"Babe, I love you.",sad
Ses03F_impro02_M016,M,158.135,161.2675,You can't leave your daughter alone like this.,sad
Ses03F_impro02_F024,F,161.285,165.745,"But she has you. I mean, that's what you're there for. You're my right-hand man.",sad
Ses03F_impro02_F025,F,169.3125,171.28,It's going to be okay.,sad
Ses03F_impro02_M017,M,170.23,171.8775,You can't postpone it?,sad
